match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5774382508,4861536209,True,1609928270,567,4902.0,6.0,7,3,79,8,236,"81,62,41,39,31","95,8,1,129,109"
5774380902,4861534174,True,1609928176,448,,,0,22,25,3,184,"18,2,21,37,84","62,13,35,41,4"
5774380304,4861533616,True,1609928140,474,3978.0,1.0,0,22,54,3,187,"30,123,65,70,50","42,19,59,90,86"
5774378001,4861541478,False,1609928009,1192,,,0,22,27,3,134,"93,74,120,42,52","121,99,77,21,101"
5774376916,4861542219,False,1609927939,1312,2531.0,2.0,0,4,42,5,137,"44,30,17,8,110","35,75,32,59,27"
5774376511,4861538645,True,1609927915,1070,2362.0,3.0,7,22,53,5,188,"29,17,14,30,93","26,68,11,10,21"
5774375502,4861539678,True,1609927840,1247,3593.0,1.0,7,22,32,4,227,"71,61,85,13,8","104,121,1,2,17"
5774375112,4861542081,True,1609927834,1234,,,7,22,23,4,187,"84,4,41,9,8","11,123,14,93,26"
5774373809,4861542525,True,1609927755,1532,,,7,22,23,3,144,"74,30,42,58,99","44,129,35,101,69"
5774373312,4861542075,True,1609927731,1510,3142.0,3.0,7,22,53,9,131,"6,50,23,12,123","11,95,2,26,71"
5774373218,4861539587,True,1609927724,1337,1397.0,1.0,7,22,19,4,137,"101,2,42,50,84","96,114,41,86,69"
5774372916,4861527139,True,1609927709,453,4084.0,2.0,0,22,46,5,145,"128,63,27,17,95","85,74,42,7,11"
5774372710,4861542073,False,1609927694,1528,861.0,1.0,7,22,22,2,151,"100,85,49,42,76","84,79,71,2,74"
5774372605,4861538743,False,1609927689,1322,1607.0,2.0,7,22,30,6,188,"81,40,57,123,97","121,47,101,6,5"
5774372309,4861540793,True,1609927670,1482,2980.0,1.0,7,22,41,4,154,"32,105,22,59,2","14,11,114,67,66"
5774372304,4861540550,False,1609927640,1337,4029.0,4.0,7,22,72,6,181,"3,56,87,93,102","11,89,68,123,16"
5774372016,4861534245,True,1609927649,990,4507.0,4.0,7,22,80,4,154,"110,102,39,45,32","13,97,109,126,5"
5774371519,4861542158,False,1609927600,1621,2586.0,2.0,7,22,32,4,181,"128,31,41,98,35","81,70,47,25,62"
5774371403,4861535332,False,1609927609,1139,,,7,22,12,3,187,"114,11,83,84,42","101,21,15,75,34"
5774370906,4861536728,False,1609927589,1174,4260.0,3.0,7,22,56,7,151,"4,13,54,20,85","38,37,11,95,52"
5774370904,4861538747,True,1609927584,1402,,,7,22,13,2,182,"6,49,84,74,89","11,41,23,53,26"
5774370611,4861536950,False,1609927529,1228,2665.0,5.0,7,22,47,7,184,"44,25,56,45,16","74,70,120,2,19"
5774370509,4861541630,False,1609927554,1591,2752.0,3.0,7,22,62,6,136,"69,123,97,31,67","102,39,63,108,19"
5774370314,4861540714,True,1609927549,1593,4624.0,6.0,7,3,72,8,227,"5,35,114,7,13","98,110,85,44,128"
